date/time: ,19/09/2022,02:38 p.m.
Run 1

time	(MT)
0,000000	-1,367611E-1
0,005000	-1,361778E-1
0,010000	-1,383443E-1
0,015000	-1,370111E-1
0,020000	-1,365944E-1
0,025000	-1,380943E-1
0,030000	-1,366778E-1
0,035000	-1,366778E-1
0,040000	-1,375110E-1
0,045000	-1,386776E-1
0,050000	-1,375110E-1
0,055000	-1,378444E-1
0,060000	-1,376777E-1
0,065000	-1,373444E-1
0,070000	-1,372611E-1
0,075000	-1,362611E-1
0,080000	-1,370944E-1
0,085000	-1,386776E-1
0,090000	-1,373444E-1
0,095000	-1,375110E-1
0,100000	-1,374277E-1
0,105000	-1,373444E-1
0,110000	-1,377610E-1
0,115000	-1,363444E-1
0,120000	-1,384277E-1
0,125000	-1,379277E-1
0,130000	-1,371777E-1
0,135000	-1,378444E-1
0,140000	-1,372611E-1
0,145000	-1,370111E-1
0,150000	-1,372611E-1
0,155000	-1,361778E-1
0,160000	-1,384277E-1
0,165000	-1,383443E-1
0,170000	-1,376777E-1
0,175000	-1,379277E-1
0,180000	-1,376777E-1
0,185000	-1,377610E-1
0,190000	-1,370944E-1
0,195000	-1,356778E-1
0,200000	-1,390110E-1
0,205000	-1,385943E-1
0,210000	-1,375944E-1
0,215000	-1,368444E-1
0,220000	-1,363444E-1
0,225000	-1,373444E-1
0,230000	-1,370111E-1
0,235000	-1,382610E-1
0,240000	-1,372611E-1
0,245000	-1,366778E-1
0,250000	-1,369277E-1
0,255000	-1,368444E-1
0,260000	-1,380943E-1
0,265000	-1,378444E-1
0,270000	-1,381777E-1
0,275000	-1,375110E-1
0,280000	-1,383443E-1
0,285000	-1,366778E-1
0,290000	-1,391776E-1
0,295000	-1,373444E-1
0,300000	-1,372611E-1
0,305000	-1,381777E-1
0,310000	-1,372611E-1
0,315000	-1,369277E-1
0,320000	-1,372611E-1
0,325000	-1,375110E-1
0,330000	-1,381777E-1
0,335000	-1,353445E-1
0,340000	-1,380943E-1
0,345000	-1,360945E-1
0,350000	-1,366778E-1
0,355000	-1,357611E-1
0,360000	-1,355945E-1
0,365000	-1,363444E-1
0,370000	-1,360111E-1
0,375000	-1,353445E-1
0,380000	-1,354278E-1
0,385000	-1,345945E-1
0,390000	-1,337613E-1
0,395000	-1,330946E-1
0,400000	-1,321780E-1
0,405000	-1,305114E-1
0,410000	-1,301781E-1
0,415000	-1,288449E-1
0,420000	-1,261783E-1
0,425000	-1,247618E-1
0,430000	-1,225119E-1
0,435000	-1,200954E-1
0,440000	-1,165122E-1
0,445000	-1,125124E-1
0,450000	-1,074294E-1
0,455000	-1,036796E-1
0,460000	-9,618003E-2
0,465000	-9,201360E-2
0,470000	-8,393072E-2
0,475000	-7,451458E-2
0,480000	-6,568174E-2
0,485000	-5,243249E-2
0,490000	-4,159976E-2
0,495000	-1,951767E-2
0,500000	-3,185254E-3
0,505000	1,414711E-2
0,510000	3,172945E-2
0,515000	4,814520E-2
0,520000	6,456094E-2
0,525000	8,131000E-2
0,530000	9,172608E-2
0,535000	1,017255E-1
0,540000	1,081418E-1
0,545000	1,085585E-1
0,550000	1,083918E-1
0,555000	1,043087E-1
0,560000	9,630916E-2
0,565000	8,680969E-2
0,570000	7,456038E-2
0,575000	6,172777E-2
0,580000	4,764522E-2
0,585000	3,406265E-2
0,590000	2,064674E-2
0,595000	6,230883E-3
0,600000	-4,768499E-3
0,605000	-1,426797E-2
0,610000	-2,335079E-2
0,615000	-3,226695E-2
0,620000	-4,226639E-2
0,625000	-4,859937E-2
0,630000	-5,426572E-2
0,635000	-5,818216E-2
0,640000	-6,526510E-2
0,645000	-6,776496E-2
0,650000	-7,026482E-2
0,655000	-7,301466E-2
0,660000	-7,751441E-2
0,665000	-7,834770E-2
0,670000	-8,068090E-2
0,675000	-8,301410E-2
0,680000	-8,384739E-2
0,685000	-8,568062E-2
0,690000	-8,734719E-2
0,695000	-8,926375E-2
0,700000	-8,893044E-2
0,705000	-9,134697E-2
0,710000	-9,209693E-2
0,715000	-9,426347E-2
0,720000	-9,426347E-2
0,725000	-9,659667E-2
0,730000	-9,684666E-2
0,735000	-9,901320E-2
0,740000	-1,002631E-1
0,745000	-1,016797E-1
0,750000	-1,025130E-1
0,755000	-1,030963E-1
0,760000	-1,041796E-1
0,765000	-1,054295E-1
0,770000	-1,066794E-1
0,775000	-1,062628E-1
0,780000	-1,085960E-1
0,785000	-1,085127E-1
0,790000	-1,087627E-1
0,795000	-1,101792E-1
0,800000	-1,120125E-1
0,805000	-1,129291E-1
0,810000	-1,128458E-1
0,815000	-1,135124E-1
0,820000	-1,128458E-1
0,825000	-1,153456E-1
0,830000	-1,146790E-1
