date/time: ,19/09/2022,02:44 p.m.
Run 1

time	(MT)
0,000000	-1,455939E-1
0,005000	-1,447606E-1
0,010000	-1,449273E-1
0,015000	-1,455106E-1
0,020000	-1,460939E-1
0,025000	-1,461772E-1
0,030000	-1,460939E-1
0,035000	-1,455939E-1
0,040000	-1,443440E-1
0,045000	-1,448440E-1
0,050000	-1,456772E-1
0,055000	-1,446773E-1
0,060000	-1,452606E-1
0,065000	-1,445940E-1
0,070000	-1,436774E-1
0,075000	-1,441773E-1
0,080000	-1,440107E-1
0,085000	-1,455939E-1
0,090000	-1,444273E-1
0,095000	-1,435107E-1
0,100000	-1,455106E-1
0,105000	-1,445106E-1
0,110000	-1,443440E-1
0,115000	-1,445940E-1
0,120000	-1,446773E-1
0,125000	-1,457606E-1
0,130000	-1,435940E-1
0,135000	-1,448440E-1
0,140000	-1,439273E-1
0,145000	-1,445940E-1
0,150000	-1,441773E-1
0,155000	-1,437607E-1
0,160000	-1,435107E-1
0,165000	-1,447606E-1
0,170000	-1,435940E-1
0,175000	-1,412608E-1
0,180000	-1,419275E-1
0,185000	-1,423441E-1
0,190000	-1,430107E-1
0,195000	-1,419275E-1
0,200000	-1,403442E-1
0,205000	-1,397609E-1
0,210000	-1,396776E-1
0,215000	-1,390110E-1
0,220000	-1,380110E-1
0,225000	-1,373444E-1
0,230000	-1,365111E-1
0,235000	-1,355112E-1
0,240000	-1,340946E-1
0,245000	-1,337613E-1
0,250000	-1,332613E-1
0,255000	-1,320113E-1
0,260000	-1,321780E-1
0,265000	-1,311781E-1
0,270000	-1,305114E-1
0,275000	-1,303448E-1
0,280000	-1,291782E-1
0,285000	-1,302614E-1
0,290000	-1,293448E-1
0,295000	-1,277616E-1
0,300000	-1,294282E-1
0,305000	-1,301781E-1
0,310000	-1,308447E-1
0,315000	-1,337613E-1
0,320000	-1,339279E-1
0,325000	-1,360111E-1
0,330000	-1,383443E-1
0,335000	-1,401776E-1
0,340000	-1,424274E-1
0,345000	-1,440940E-1
0,350000	-1,467605E-1
0,355000	-1,475105E-1
0,360000	-1,490937E-1
0,365000	-1,510103E-1
0,370000	-1,527602E-1
0,375000	-1,544268E-1
0,380000	-1,544268E-1
0,385000	-1,561767E-1
0,390000	-1,565100E-1
0,395000	-1,554267E-1
0,400000	-1,549267E-1
0,405000	-1,540934E-1
0,410000	-1,552600E-1
0,415000	-1,525935E-1
0,420000	-1,530935E-1
0,425000	-1,531768E-1
0,430000	-1,530935E-1
0,435000	-1,510936E-1
0,440000	-1,511769E-1
0,445000	-1,514269E-1
0,450000	-1,510936E-1
0,455000	-1,507603E-1
0,460000	-1,488437E-1
0,465000	-1,495104E-1
0,470000	-1,487604E-1
0,475000	-1,475938E-1
0,480000	-1,476771E-1
0,485000	-1,471772E-1
0,490000	-1,474272E-1
0,495000	-1,453439E-1
0,500000	-1,465939E-1
0,505000	-1,463439E-1
0,510000	-1,434274E-1
0,515000	-1,439273E-1
0,520000	-1,435107E-1
0,525000	-1,434274E-1
0,530000	-1,430941E-1
0,535000	-1,430107E-1
0,540000	-1,440107E-1
0,545000	-1,435107E-1
0,550000	-1,430107E-1
0,555000	-1,427607E-1
0,560000	-1,418441E-1
0,565000	-1,432607E-1
0,570000	-1,438440E-1
0,575000	-1,429274E-1
0,580000	-1,418441E-1
0,585000	-1,445106E-1
0,590000	-1,421774E-1
0,595000	-1,425941E-1
0,600000	-1,429274E-1
0,605000	-1,431774E-1
0,610000	-1,417608E-1
0,615000	-1,420108E-1
0,620000	-1,432607E-1
0,625000	-1,434274E-1
0,630000	-1,423441E-1
0,635000	-1,423441E-1
0,640000	-1,439273E-1
0,645000	-1,440940E-1
0,650000	-1,444273E-1
0,655000	-1,436774E-1
0,660000	-1,429274E-1
0,665000	-1,445106E-1
0,670000	-1,454273E-1
0,675000	-1,450939E-1
0,680000	-1,454273E-1
0,685000	-1,451773E-1
0,690000	-1,447606E-1
0,695000	-1,437607E-1
0,700000	-1,450106E-1
0,705000	-1,455939E-1
0,710000	-1,454273E-1
0,715000	-1,449273E-1
0,720000	-1,442607E-1
0,725000	-1,448440E-1
0,730000	-1,450939E-1
0,735000	-1,456772E-1
0,740000	-1,450939E-1
0,745000	-1,452606E-1
0,750000	-1,456772E-1
0,755000	-1,454273E-1
0,760000	-1,452606E-1
0,765000	-1,455939E-1
0,770000	-1,455106E-1
0,775000	-1,464272E-1
0,780000	-1,455106E-1
0,785000	-1,475938E-1
0,790000	-1,452606E-1
0,795000	-1,457606E-1
