date/time: ,19/09/2022,02:02 p.m.
Run 1

time	(MT)
0,000000	-7,493100E-1
0,005000	-7,484767E-1
0,010000	-7,488100E-1
0,015000	-7,497266E-1
0,020000	-7,495600E-1
0,025000	-7,472268E-1
0,030000	-7,483934E-1
0,035000	-7,486434E-1
0,040000	-7,504766E-1
0,045000	-7,479767E-1
0,050000	-7,489767E-1
0,055000	-7,486434E-1
0,060000	-7,491433E-1
0,065000	-7,492267E-1
0,070000	-7,488100E-1
0,075000	-7,488934E-1
0,080000	-7,497266E-1
0,085000	-7,489767E-1
0,090000	-7,486434E-1
0,095000	-7,500600E-1
0,100000	-7,503933E-1
0,105000	-7,490600E-1
0,110000	-7,498100E-1
0,115000	-7,494767E-1
0,120000	-7,488934E-1
0,125000	-7,489767E-1
0,130000	-7,483934E-1
0,135000	-7,491433E-1
0,140000	-7,491433E-1
0,145000	-7,491433E-1
0,150000	-7,498100E-1
0,155000	-7,496433E-1
0,160000	-7,489767E-1
0,165000	-7,499766E-1
0,170000	-7,488100E-1
0,175000	-7,504766E-1
0,180000	-7,486434E-1
0,185000	-7,489767E-1
0,190000	-7,483101E-1
0,195000	-7,490600E-1
0,200000	-7,503933E-1
0,205000	-7,491433E-1
0,210000	-7,494767E-1
0,215000	-7,502266E-1
0,220000	-7,491433E-1
0,225000	-7,496433E-1
0,230000	-7,484767E-1
0,235000	-7,490600E-1
0,240000	-7,479767E-1
0,245000	-7,480601E-1
0,250000	-7,478101E-1
0,255000	-7,483934E-1
0,260000	-7,480601E-1
0,265000	-7,479767E-1
0,270000	-7,492267E-1
0,275000	-7,497266E-1
0,280000	-7,488100E-1
0,285000	-7,487267E-1
0,290000	-7,500600E-1
0,295000	-7,496433E-1
0,300000	-7,498100E-1
0,305000	-7,492267E-1
0,310000	-7,491433E-1
0,315000	-7,500600E-1
0,320000	-7,488100E-1
0,325000	-7,489767E-1
0,330000	-7,490600E-1
0,335000	-7,478101E-1
0,340000	-7,471435E-1
0,345000	-7,479767E-1
0,350000	-7,484767E-1
0,355000	-7,492267E-1
0,360000	-7,497266E-1
0,365000	-7,493100E-1
0,370000	-7,486434E-1
0,375000	-7,483934E-1
0,380000	-7,496433E-1
0,385000	-7,471435E-1
0,390000	-7,492267E-1
0,395000	-7,485600E-1
0,400000	-7,482267E-1
0,405000	-7,479767E-1
0,410000	-7,477268E-1
0,415000	-7,493100E-1
0,420000	-7,487267E-1
0,425000	-7,490600E-1
0,430000	-7,501433E-1
0,435000	-7,495600E-1
0,440000	-7,485600E-1
0,445000	-7,481434E-1
0,450000	-7,487267E-1
0,455000	-7,493100E-1
0,460000	-7,486434E-1
0,465000	-7,475601E-1
0,470000	-7,488934E-1
0,475000	-7,498933E-1
0,480000	-7,494767E-1
0,485000	-7,470601E-1
0,490000	-7,483101E-1
0,495000	-7,488934E-1
0,500000	-7,483101E-1
0,505000	-7,488934E-1
0,510000	-7,481434E-1
0,515000	-7,478101E-1
0,520000	-7,471435E-1
0,525000	-7,468935E-1
0,530000	-7,471435E-1
0,535000	-7,487267E-1
0,540000	-7,483934E-1
0,545000	-7,463102E-1
0,550000	-7,471435E-1
0,555000	-7,482267E-1
0,560000	-7,494767E-1
0,565000	-7,482267E-1
0,570000	-7,489767E-1
0,575000	-7,473101E-1
0,580000	-7,474768E-1
0,585000	-7,465602E-1
0,590000	-7,478101E-1
0,595000	-7,488100E-1
0,600000	-7,498933E-1
0,605000	-7,492267E-1
0,610000	-7,488934E-1
0,615000	-7,473101E-1
0,620000	-7,482267E-1
0,625000	-7,481434E-1
0,630000	-7,474768E-1
0,635000	-7,491433E-1
0,640000	-7,483101E-1
0,645000	-7,492267E-1
0,650000	-7,478101E-1
0,655000	-7,482267E-1
0,660000	-7,478101E-1
0,665000	-7,471435E-1
0,670000	-7,480601E-1
0,675000	-7,496433E-1
0,680000	-7,482267E-1
0,685000	-7,473101E-1
0,690000	-7,469768E-1
0,695000	-7,488934E-1
0,700000	-7,468101E-1
0,705000	-7,481434E-1
0,710000	-7,485600E-1
0,715000	-7,486434E-1
0,720000	-7,489767E-1
0,725000	-7,473101E-1
0,730000	-7,488934E-1
0,735000	-7,493933E-1
0,740000	-7,498933E-1
0,745000	-7,479767E-1
0,750000	-7,470601E-1
0,755000	-7,493100E-1
0,760000	-7,493100E-1
0,765000	-7,477268E-1
0,770000	-7,490600E-1
0,775000	-7,492267E-1
0,780000	-7,494767E-1
0,785000	-7,485600E-1
0,790000	-7,503099E-1
0,795000	-7,490600E-1
0,800000	-7,488934E-1
0,805000	-7,478934E-1
0,810000	-7,486434E-1
0,815000	-7,481434E-1
0,820000	-7,496433E-1
0,825000	-7,472268E-1
0,830000	-7,483934E-1
0,835000	-7,490600E-1
0,840000	-7,487267E-1
0,845000	-7,476434E-1
0,850000	-7,497266E-1
0,855000	-7,501433E-1
0,860000	-7,480601E-1
0,865000	-7,482267E-1
0,870000	-7,480601E-1
0,875000	-7,490600E-1
0,880000	-7,484767E-1
0,885000	-7,491433E-1
0,890000	-7,498933E-1
0,895000	-7,502266E-1
0,900000	-7,489767E-1
0,905000	-7,500600E-1
0,910000	-7,493100E-1
0,915000	-7,508099E-1
0,920000	-7,490600E-1
0,925000	-7,483934E-1
0,930000	-7,493933E-1
0,935000	-7,485600E-1
0,940000	-7,482267E-1
0,945000	-7,483101E-1
0,950000	-7,492267E-1
0,955000	-7,497266E-1
0,960000	-7,492267E-1
0,965000	-7,482267E-1
0,970000	-7,486434E-1
0,975000	-7,479767E-1
0,980000	-7,492267E-1
0,985000	-7,477268E-1
0,990000	-7,485600E-1
0,995000	-7,479767E-1
1,000000	-7,481434E-1
1,005000	-7,491433E-1
1,010000	-7,495600E-1
1,015000	-7,488934E-1
1,020000	-7,494767E-1
1,025000	-7,479767E-1
1,030000	-7,492267E-1
1,035000	-7,500600E-1
1,040000	-7,499766E-1
1,045000	-7,483934E-1
1,050000	-7,495600E-1
1,055000	-7,503099E-1
1,060000	-7,483934E-1
1,065000	-7,480601E-1
1,070000	-7,498933E-1
1,075000	-7,492267E-1
1,080000	-7,490600E-1
1,085000	-7,485600E-1
1,090000	-7,479767E-1
1,095000	-7,485600E-1
1,100000	-7,479767E-1
1,105000	-7,481434E-1
1,110000	-7,504766E-1
1,115000	-7,493933E-1
1,120000	-7,493933E-1
1,125000	-7,472268E-1
1,130000	-7,488934E-1
1,135000	-7,503099E-1
1,140000	-7,499766E-1
1,145000	-7,485600E-1
1,150000	-7,490600E-1
1,155000	-7,487267E-1
1,160000	-7,497266E-1
1,165000	-7,497266E-1
1,170000	-7,488934E-1
1,175000	-7,491433E-1
1,180000	-7,486434E-1
1,185000	-7,494767E-1
1,190000	-7,485600E-1
1,195000	-7,490600E-1
1,200000	-7,483101E-1
1,205000	-7,476434E-1
1,210000	-7,475601E-1
1,215000	-7,496433E-1
1,220000	-7,493100E-1
1,225000	-7,481434E-1
1,230000	-7,496433E-1
1,235000	-7,487267E-1
1,240000	-7,490600E-1
1,245000	-7,493100E-1
1,250000	-7,485600E-1
1,255000	-7,489767E-1
1,260000	-7,503933E-1
1,265000	-7,493933E-1
1,270000	-7,485600E-1
1,275000	-7,493933E-1
1,280000	-7,491433E-1
1,285000	-7,483101E-1
1,290000	-7,497266E-1
1,295000	-7,503933E-1
1,300000	-7,483101E-1
1,305000	-7,473101E-1
1,310000	-7,481434E-1
1,315000	-7,483101E-1
1,320000	-7,467268E-1
1,325000	-7,482267E-1
1,330000	-7,463935E-1
1,335000	-7,478934E-1
1,340000	-7,488100E-1
1,345000	-7,480601E-1
1,350000	-7,484767E-1
1,355000	-7,486434E-1
1,360000	-7,491433E-1
1,365000	-7,475601E-1
1,370000	-7,482267E-1
1,375000	-7,487267E-1
1,380000	-7,479767E-1
1,385000	-7,468935E-1
1,390000	-7,476434E-1
1,395000	-7,472268E-1
1,400000	-7,485600E-1
1,405000	-7,476434E-1
1,410000	-7,480601E-1
1,415000	-7,490600E-1
1,420000	-7,490600E-1
1,425000	-7,473934E-1
1,430000	-7,488934E-1
1,435000	-7,486434E-1
1,440000	-7,488100E-1
1,445000	-7,488100E-1
1,450000	-7,484767E-1
1,455000	-7,493933E-1
1,460000	-7,493100E-1
1,465000	-7,494767E-1
1,470000	-7,478934E-1
1,475000	-7,478101E-1
1,480000	-7,474768E-1
1,485000	-7,471435E-1
1,490000	-7,478101E-1
1,495000	-7,489767E-1
1,500000	-7,478101E-1
1,505000	-7,483101E-1
1,510000	-7,480601E-1
1,515000	-7,481434E-1
1,520000	-7,489767E-1
1,525000	-7,475601E-1
1,530000	-7,468935E-1
1,535000	-7,488100E-1
1,540000	-7,488100E-1
1,545000	-7,490600E-1
1,550000	-7,476434E-1
1,555000	-7,473934E-1
1,560000	-7,484767E-1
1,565000	-7,492267E-1
1,570000	-7,482267E-1
1,575000	-7,483101E-1
1,580000	-7,484767E-1
1,585000	-7,468935E-1
1,590000	-7,482267E-1
1,595000	-7,491433E-1
1,600000	-7,486434E-1
1,605000	-7,483934E-1
1,610000	-7,493100E-1
1,615000	-7,498933E-1
1,620000	-7,479767E-1
1,625000	-7,488100E-1
1,630000	-7,486434E-1
1,635000	-7,498100E-1
1,640000	-7,483101E-1
1,645000	-7,478101E-1
1,650000	-7,473101E-1
1,655000	-7,485600E-1
1,660000	-7,478101E-1
1,665000	-7,480601E-1
1,670000	-7,479767E-1
1,675000	-7,482267E-1
1,680000	-7,475601E-1
1,685000	-7,490600E-1
1,690000	-7,486434E-1
1,695000	-7,487267E-1
1,700000	-7,485600E-1
1,705000	-7,493100E-1
1,710000	-7,479767E-1
1,715000	-7,483101E-1
1,720000	-7,491433E-1
1,725000	-7,492267E-1
1,730000	-7,477268E-1
1,735000	-7,498933E-1
1,740000	-7,488934E-1
1,745000	-7,483934E-1
1,750000	-7,467268E-1
1,755000	-7,489767E-1
1,760000	-7,489767E-1
1,765000	-7,481434E-1
1,770000	-7,488934E-1
1,775000	-7,487267E-1
1,780000	-7,487267E-1
1,785000	-7,482267E-1
1,790000	-7,485600E-1
1,795000	-7,497266E-1
1,800000	-7,495600E-1
1,805000	-7,471435E-1
1,810000	-7,483101E-1
1,815000	-7,499766E-1
1,820000	-7,488100E-1
1,825000	-7,484767E-1
1,830000	-7,484767E-1
1,835000	-7,489767E-1
1,840000	-7,493100E-1
1,845000	-7,465602E-1
1,850000	-7,482267E-1
1,855000	-7,483101E-1
1,860000	-7,489767E-1
1,865000	-7,466435E-1
1,870000	-7,493933E-1
1,875000	-7,486434E-1
1,880000	-7,477268E-1
1,885000	-7,490600E-1
1,890000	-7,502266E-1
1,895000	-7,495600E-1
1,900000	-7,487267E-1
1,905000	-7,498100E-1
1,910000	-7,483101E-1
1,915000	-7,498933E-1
1,920000	-7,500600E-1
1,925000	-7,492267E-1
1,930000	-7,478934E-1
1,935000	-7,493933E-1
1,940000	-7,486434E-1
1,945000	-7,495600E-1
1,950000	-7,509766E-1
1,955000	-7,491433E-1
1,960000	-7,492267E-1
1,965000	-7,495600E-1
1,970000	-7,485600E-1
1,975000	-7,485600E-1
1,980000	-7,513099E-1
1,985000	-7,478934E-1
1,990000	-7,493933E-1
1,995000	-7,494767E-1
2,000000	-7,489767E-1
2,005000	-7,486434E-1
2,010000	-7,494767E-1
2,015000	-7,492267E-1
2,020000	-7,491433E-1
2,025000	-7,472268E-1
2,030000	-7,483101E-1
2,035000	-7,493100E-1
2,040000	-7,488934E-1
2,045000	-7,495600E-1
2,050000	-7,492267E-1
2,055000	-7,490600E-1
2,060000	-7,503099E-1
2,065000	-7,492267E-1
2,070000	-7,475601E-1
2,075000	-7,494767E-1
2,080000	-7,489767E-1
2,085000	-7,478101E-1
2,090000	-7,471435E-1
2,095000	-7,489767E-1
2,100000	-7,490600E-1
2,105000	-7,473101E-1
2,110000	-7,478101E-1
2,115000	-7,484767E-1
2,120000	-7,483101E-1
2,125000	-7,490600E-1
2,130000	-7,499766E-1
2,135000	-7,498100E-1
2,140000	-7,503099E-1
2,145000	-7,483934E-1
2,150000	-7,483101E-1
2,155000	-7,490600E-1
2,160000	-7,481434E-1
2,165000	-7,478934E-1
2,170000	-7,487267E-1
2,175000	-7,488100E-1
2,180000	-7,485600E-1
2,185000	-7,481434E-1
2,190000	-7,488934E-1
2,195000	-7,500600E-1
2,200000	-7,493100E-1
2,205000	-7,493933E-1
2,210000	-7,490600E-1
2,215000	-7,484767E-1
2,220000	-7,484767E-1
2,225000	-7,480601E-1
2,230000	-7,470601E-1
2,235000	-7,494767E-1
2,240000	-7,491433E-1
2,245000	-7,485600E-1
2,250000	-7,491433E-1
2,255000	-7,493933E-1
2,260000	-7,495600E-1
2,265000	-7,490600E-1
2,270000	-7,501433E-1
2,275000	-7,498100E-1
2,280000	-7,488100E-1
2,285000	-7,481434E-1
2,290000	-7,480601E-1
2,295000	-7,494767E-1
2,300000	-7,508932E-1
2,305000	-7,483934E-1
2,310000	-7,496433E-1
2,315000	-7,496433E-1
2,320000	-7,482267E-1
2,325000	-7,489767E-1
2,330000	-7,483101E-1
